Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,-9999
346,JaVale McGee,DAL,"$2,208,856","$2,208,856","$2,208,856","$2,208,856",,,"$8,835,424",mcgeeja01
347,Jeremiah Robinson-Earl,NOP,"$2,196,970",,,,,,"$2,196,970",robinje02
348,Lindy Waters III,DET,"$2,196,970",,,,,,"$2,196,970",waterli01
349,Dalano Banton,POR,"$2,196,970",,,,,,"$2,019,706",bantoda01
350,Sam Merrill,CLE,"$2,164,993",,,,,,"$2,164,993",merrisa01
351,Duane Washington Jr.,CHO,"$2,162,607",,,,,,"$2,162,607",washidu02
352,Keon Johnson,BRK,"$2,162,606","$2,349,578",,,,,"$4,512,184",johnske07
353,Luka Garza,MIN,"$2,162,606","$2,349,578",,,,,"$2,162,606",garzalu01
354,Neemias Queta,BOS,"$2,162,606","$2,349,578","$2,667,944",,,,"$2,162,606",quetane01
355,Vit Krejci,ATL,"$2,162,606","$2,349,578","$2,667,944","$3,005,085",,,"$2,162,606",krejcvi01
356,Keon Ellis,SAC,"$2,120,693","$2,301,587",,,,,"$4,422,280",elliske01
357,Vince Williams Jr.,MEM,"$2,120,693","$2,301,587","$2,489,752",,,,"$4,422,280",willivi01
358,Colby Jones,WAS,"$2,120,693",,,,,,"$2,120,693",jonesco02
359,A.J. Green,MIL,"$2,120,693","$2,301,587",,,,,"$2,120,693",greenaj01
360,Sam Hauser,BOS,"$2,092,344","$10,044,644","$10,848,215","$11,651,785","$12,455,356",,"$47,092,344",hausesa01
361,Jericho Sims,MIL,"$2,092,344",,,,,,"$2,092,344",simsje01
362,Jay Huff,MEM,"$2,088,033","$2,349,578","$2,667,944","$3,005,085",,,"$2,088,033",huffja01
363,Tyler Kolek,NYK,"$2,087,519","$2,191,897","$2,296,271","$2,486,995",,,"$6,575,687",kolekty01
364,Scotty Pippen Jr.,MEM,"$2,087,519","$2,270,735","$2,461,462","$2,789,215",,,"$4,358,254",pippesc02
365,Reggie Jackson,WAS,"$4,033,748",,,,,,"$2,087,519",jacksre01
366,Alex Len,WAS,"$2,831,348",,,,,,"$2,087,519",lenal01
367,Mo Bamba,UTA,"$2,207,491",,,,,,"$2,087,519",bambamo01
368,Garrett Temple,TOR,"$2,087,519",,,,,,"$2,087,519",templga01
369,Charles Bassey,SAS,"$2,087,519","$2,500,000",,,,,"$2,087,519",bassech01
370,Jordan McLaughlin,SAS,"$2,087,519",,,,,,"$2,087,519",mclaujo01
371,Sandro Mamukelashvili,SAS,"$2,087,519",,,,,,"$2,087,519",mamuksa01
372,Doug McDermott,SAC,"$2,087,519",,,,,,"$2,087,519",mcderdo01
373,Tyus Jones,PHO,"$2,087,519",,,,,,"$2,087,519",jonesty01
374,Bol Bol,PHO,"$2,087,519",,,,,,"$2,087,519",bolbo01
375,Monte Morris,PHO,"$2,087,519",,,,,,"$2,087,519",morrimo01
376,Mason Plumlee,PHO,"$2,087,519",,,,,,"$2,087,519",plumlma01
377,Damion Lee,PHO,"$2,087,519",,,,,,"$2,087,519",leeda03
378,Guerschon Yabusele,PHI,"$2,087,519",,,,,,"$2,087,519",yabusgu01
379,Kyle Lowry,PHI,"$2,087,519",,,,,,"$2,087,519",lowryky01
380,Daniel Theis,OKC,"$2,087,519",,,,,,"$2,087,519",theisda01
381,Cameron Payne,NYK,"$2,087,519",,,,,,"$2,087,519",payneca01
382,Delon Wright,NYK,"$2,087,519",,,,,,"$2,087,519",wrighde01
383,Joe Ingles,MIN,"$2,087,519",,,,,,"$2,087,519",inglejo01
384,Gary Trent Jr.,MIL,"$2,087,519",,,,,,"$2,087,519",trentga02
385,Taurean Prince,MIL,"$2,087,519",,,,,,"$2,087,519",princta02
386,Alec Burks,MIA,"$2,087,519",,,,,,"$2,087,519",burksal01
387,Markieff Morris,LAL,"$2,087,519",,,,,,"$2,087,519",morrima02
388,Patty Mills,LAC,"$2,087,519",,,,,,"$2,087,519",millspa02
389,James Johnson,IND,"$2,087,519",,,,,,"$2,087,519",johnsja01
390,Thomas Bryant,IND,"$2,087,519",,,,,,"$2,087,519",bryanth01
391,DeAndre Jordan,DEN,"$2,087,519",,,,,,"$2,087,519",jordade01
392,Vlatko Čančar,DEN,"$2,087,519",,,,,,"$2,087,519",cancavl01
393,Spencer Dinwiddie,DAL,"$2,087,519",,,,,,"$2,087,519",dinwisp01
394,Tristan Thompson,CLE,"$2,087,519",,,,,,"$2,087,519",thomptr01
395,Seth Curry,CHO,"$2,087,519",,,,,,"$2,087,519",curryse01
396,Taj Gibson,CHO,"$2,087,519",,,,,,"$2,087,519",gibsota01
397,Talen Horton-Tucker,CHI,"$2,087,519",,,,,,"$2,087,519",hortota01
398,Luke Kornet,BOS,"$2,087,519",,,,,,"$2,087,519",kornelu01
399,Duop Reath,POR,"$2,048,780","$2,221,677",,,,,"$2,048,780",reathdu01
400,Andrew Nembhard,IND,"$2,019,699","$18,102,000","$19,550,160","$20,998,320",,,"$60,670,179",nembhan01
401,Jaden Hardy,DAL,"$2,019,699","$6,000,000","$6,000,000","$6,000,000",,,"$14,019,699",hardyja02
402,Jabari Walker,POR,"$2,019,699",,,,,,"$2,019,699",walkeja01
403,Caleb Houstan,ORL,"$2,019,699","$2,187,699",,,,,"$2,019,699",houstca01
404,Jaylin Williams,OKC,"$2,019,699",,,,,,"$2,019,699",willija07
405,Josh Minott,MIN,"$2,019,699","$2,187,451",,,,,"$2,019,699",minotjo01
406,Kennedy Chandler,MEM,"$2,019,699",,,,,,"$2,019,699",chandke01
407,Jose Alvarado,NOP,"$1,988,598","$4,500,000","$4,500,000",,,,"$6,488,598",alvarjo01
408,Reggie Jackson,CHO,"$4,033,748",,,,,,"$1,946,229",jacksre01
409,Rayan Rupert,POR,"$1,891,857","$2,221,677",,,,,"$4,113,534",ruperra01
410,Ricky Council IV,PHI,"$1,891,857","$2,221,677","$2,406,205",,,,"$4,113,534",councri01
411,GG Jackson II,MEM,"$1,891,857","$2,221,677","$2,406,205",,,,"$4,113,534",jacksgg01
412,Gui Santos,GSW,"$1,891,857","$2,221,677",,,,,"$4,113,534",santogu01
413,Jalen Pickett,DEN,"$1,891,857","$2,221,677","$2,406,205",,,,"$4,113,534",pickeja02
414,Hunter Tyson,DEN,"$1,891,857","$2,221,677","$2,406,205",,,,"$4,113,534",tysonhu01
415,Julian Phillips,CHI,"$1,891,857","$2,221,677","$2,406,205",,,,"$4,113,534",phillju01
416,Jalen Wilson,BRK,"$1,891,857","$2,221,677",,,,,"$4,113,534",wilsoja03
417,Jordan Walsh,BOS,"$1,891,857","$2,221,677","$2,406,205",,,,"$2,091,857",walshjo01
418,Sidy Cissoko,WAS,"$1,891,857",,,,,,"$1,891,857",cissosi01
419,Toumani Camara,POR,"$1,891,857","$2,221,677","$2,406,205",,,,"$1,891,857",camarto01
420,Leonard Miller,MIN,"$1,891,857","$2,221,677","$2,406,205",,,,"$1,891,857",millele01
421,Chris Livingston,MIL,"$1,891,857",,,,,,"$1,891,857",livinch01
422,Andre Jackson Jr.,MIL,"$1,891,857","$2,221,677","$2,406,205",,,,"$1,891,857",jacksan01
423,Trayce Jackson-Davis,GSW,"$1,891,857","$2,221,677","$2,406,205",,,,"$1,891,857",jackstr02
424,Craig Porter Jr.,CLE,"$1,891,857","$2,221,677","$2,406,205",,,,"$1,891,857",portecr01
425,Maxwell Lewis,BRK,"$1,891,857",,,,,,"$1,891,857",lewisma05
426,Mouhamed Gueye,ATL,"$1,891,857","$2,221,677","$2,406,205",,,,"$1,891,857",gueyemo02
427,Jonathan Mogbo,TOR,"$1,862,265","$1,955,377","$2,296,271",,,,"$3,817,642",mogbojo01
428,Jamal Shead,TOR,"$1,862,265","$1,955,377","$2,296,271",,,,"$3,817,642",sheadja01
429,Johnny Furphy,IND,"$1,850,842","$1,955,377","$2,296,271","$2,486,995",,,"$6,102,490",furphjo01
430,Pacome Dadiet,NYK,"$1,808,080","$2,847,600","$2,983,680","$5,373,608",,,"$4,655,680",dadiepa01
431,Justin Champagnie,WAS,"$1,800,000","$2,349,578","$2,667,944","$3,005,085",,,"$6,817,522",champju01
432,Javonte Green,NOP,"$2,328,350",,,,,,"$1,728,488",greenja02
433,Jae Crowder,SAC,"$1,655,619",,,,,,"$1,655,619",crowdja01
434,Paul Reed,DET,"$3,913,234",,,,,,"$3,913,234",reedpa01
435,Karlo Matković,NOP,"$1,407,153","$1,955,377","$2,296,271",,,,"$3,362,530",matkoka01
436,Landry Shamet,NYK,"$1,343,690",,,,,,"$1,343,690",shamela01
437,Eric Bledsoe,POR,"$1,300,000",,,,,,"$1,300,000",bledser01
438,Bobi Klintman,DET,"$1,257,153","$1,955,377","$2,296,271","$2,486,995",,,"$3,212,530",klintbo01
439,Tyler Smith,MIL,"$1,157,153","$1,955,377","$2,296,271","$2,486,995",,,"$5,408,801",smithty02
440,Oso Ighodaro,PHO,"$1,157,153","$1,955,377","$2,296,271","$2,486,995",,,"$3,112,530",ighodos01
441,Jaylen Wells,MEM,"$1,157,153","$1,955,377","$2,296,271","$2,486,995",,,"$3,112,530",wellsja01
442,Bronny James,LAL,"$1,157,153","$1,955,377","$2,296,271","$2,486,995",,,"$3,112,530",jamesbr02
443,Cam Christie,LAC,"$1,157,153","$1,955,377","$2,296,271","$2,486,995",,,"$3,112,530",chrisca02
444,Adem Bona,PHI,"$1,157,153","$1,955,377","$2,296,271","$2,486,995",,,"$1,157,153",bonaad01
445,Pelle Larsson,MIA,"$1,157,153","$1,955,377","$2,296,271",,,,"$1,157,153",larsspe01
446,Bruno Fernando,TOR,"$1,115,128",,,,,,"$1,115,128",fernabr01
447,Ariel Hukporti,NYK,"$1,064,049","$1,955,377",,,,,"$3,019,426",hukpoar01
448,PJ Dozier,MIN,"$1,051,255",,,,,,"$1,051,255",doziepj01
449,Jordan Miller,LAC,"$1,050,000","$2,191,897","$2,378,864","$2,573,347",,,"$1,050,000",millejo02
450,Jamison Battle,TOR,"$1,000,000","$1,955,377","$2,296,271",,,,"$1,000,000",battlja01
451,Kevin Porter Jr.,OKC,"$3,366,937","$2,546,675",,,,,"$1,000,000",porteke02
452,Joshua Primo,LAC,"$1,000,000",,,,,,"$1,000,000",primojo01
453,Orlando Robinson,SAC,"$1,691,610",,,,,,"$959,779",robinor01
454,Moussa Diabaté,CHO,"$957,763","$2,270,735","$2,461,462",,,,"$957,763",diabamo01
455,Lonnie Walker IV,PHI,"$780,932","$2,940,876",,,,,"$780,932",walkelo01
456,Torrey Craig,BOS,"$3,625,162",,,,,,"$779,820",craigto01
457,Ben Simmons,LAC,"$40,011,909",,,,,,"$755,826",simmobe01
458,Jared Butler,PHI,"$745,726","$2,349,578",,,,,"$745,726",butleja02
459,Alex Len,LAL,"$2,831,348",,,,,,"$743,829",lenal01
460,Markelle Fultz,SAC,"$731,831",,,,,,"$731,831",fultzma01
461,Keshad Johnson,MIA,"$724,883","$1,955,377",,,,,"$2,680,260",johnske10
462,E.J. Liddell,PHO,"$706,898","$706,898","$706,898",,,,"$2,120,694",liddeej01
463,Nik Stauskas,IND,"$702,310",,,,,,"$702,310",stausni01
464,Tyrese Martin,BRK,"$635,853","$2,191,897",,,,,"$2,827,750",martity01
465,Jaden Springer,UTA,"$4,772,772","$2,349,578","$2,667,944",,,,"$754,409",sprinja01
466,Matt Ryan,NYK,"$621,439",,,,,,"$621,439",ryanma01
467,Ryan Rollins,WAS,"$1,091,887",,,,,,"$600,000",rolliry01
468,Javonte Green,CLE,"$2,328,350",,,,,,"$599,862",greenja02
469,Brandon Boston Jr.,NOP,"$596,581","$2,349,578",,,,,"$596,581",bostobr01
470,Juwan Morgan,IND,"$576,229",,,,,,"$576,229",morgaju01
471,Malik Fitts,IND,"$555,216",,,,,,"$555,216",fittsma01
472,Jeenathan Williams,HOU,"$515,881","$2,270,735","$2,461,462","$2,789,215",,,"$515,881",willije02
473,Bismack Biyombo,SAS,"$647,851",,,,,,"$791,818",biyombi01
474,Jaylen Clark,MIN,"$492,323","$2,191,897",,,,,"$2,684,220",clarkja02
475,Dominick Barlow,ATL,"$491,887","$2,270,735",,,,,"$2,762,622",barlodo01
476,Orlando Robinson,TOR,"$1,691,610",,,,,,"$731,831",robinor01
477,Ryan Rollins,MIL,"$1,091,887",,,,,,"$491,887",rolliry01
478,Mamadi Diakite,MEM,"$464,050","$464,050","$464,050",,,,"$1,392,150",diakima01
479,Quinten Post,GSW,"$438,920","$1,955,377",,,,,"$2,394,297",postqu01
480,Pat Spencer,GSW,"$438,810",,,,,,"$438,810",spencpa01
481,Justin Edwards,PHI,"$425,619","$1,955,377",,,,,"$425,619",edwarju01
482,Ricky Rubio,CLE,"$424,672","$424,672","$424,672",,,,"$1,274,016",rubiori01
483,Lamar Stevens,MEM,"$623,856",,,,,,"$623,856",stevela01
484,Branden Carlson,OKC,"$496,519",,,,,,"$496,519",carlsbr01
485,Tony Bradley,IND,"$600,545","$2,940,876",,,,,"$3,541,421",bradlto01
486,Moses Brown,IND,"$426,632",,,,,,"$306,660",brownmo01
487,Jaylen Nowell,NOP,"$446,743",,,,,,"$278,782",nowelja01
488,Elfrid Payton,NOP,"$789,048","$3,153,598",,,,,"$549,104",paytoel01
489,Didi Louzada,POR,"$268,032","$268,032","$268,032","$268,032","$268,032",,"$1,340,160",louzama01
490,Kevin Knox,GSW,"$503,883",,,,,,"$503,883",knoxke01
491,AJ Griffin,HOU,"$250,000",,,,,,"$250,000",griffaj01
492,P.J. Tucker,NYK,"$12,025,777","$3,468,960",,,,,"$486,777",tuckepj01
493,Jordan Goodwin,LAL,"$223,718","$2,349,578",,,,,"$2,573,296",goodwjo01
494,Jaylen Nowell,WAS,"$446,743",,,,,,"$167,961",nowelja01
495,Isaac Jones,SAC,"$152,957","$1,955,377",,,,,"$2,108,334",jonesis01
496,Tony Bradley,IND,"$600,545","$2,940,876",,,,,"$3,541,421",bradlto01
497,Bismack Biyombo,SAS,"$647,851",,,,,,"$791,818",biyombi01
498,Bismack Biyombo,SAS,"$647,851",,,,,,"$791,818",biyombi01
499,Malevy Leons,OKC,"$126,356",,,,,,"$126,356",leonsma01
500,Tony Bradley,IND,"$600,545","$2,940,876",,,,,"$3,541,421",bradlto01
501,Jaden Springer,UTA,"$4,772,772","$2,349,578","$2,667,944",,,,"$754,409",sprinja01
502,Orlando Robinson,TOR,"$1,691,610",,,,,,"$731,831",robinor01
503,Orlando Robinson,TOR,"$1,691,610",,,,,,"$731,831",robinor01
504,Lamar Stevens,MEM,"$623,856",,,,,,"$623,856",stevela01
505,Lamar Stevens,MEM,"$623,856",,,,,,"$623,856",stevela01
506,Elfrid Payton,NOP,"$789,048","$3,153,598",,,,,"$549,104",paytoel01
507,Elfrid Payton,NOP,"$789,048","$3,153,598",,,,,"$549,104",paytoel01
508,Kevin Knox,GSW,"$503,883",,,,,,"$503,883",knoxke01
509,Kevin Knox,GSW,"$503,883",,,,,,"$503,883",knoxke01
510,P.J. Tucker,NYK,"$12,025,777","$3,468,960",,,,,"$486,777",tuckepj01
511,P.J. Tucker,NYK,"$12,025,777","$3,468,960",,,,,"$486,777",tuckepj01
512,Chuma Okeke,PHI,"$355,687","$2,546,675",,,,,"$239,944",okekech01
513,Chuma Okeke,PHI,"$355,687","$2,546,675",,,,,"$239,944",okekech01
514,Elfrid Payton,CHO,"$789,048","$3,153,598",,,,,"$239,944",paytoel01
515,Elfrid Payton,CHO,"$789,048","$3,153,598",,,,,"$239,944",paytoel01
516,Cole Swider,TOR,"$227,947",,,,,,"$227,947",swideco01
517,Jalen McDaniels,WAS,"$4,861,772",,,,,,"$119,972",mcdanja01
518,Eugene Omoruyi,TOR,"$119,972",,,,,,"$119,972",omorueu01
519,Terry Taylor,SAC,"$119,972",,,,,,"$119,972",taylote01
520,Skal Labissière,SAC,"$119,972",,,,,,"$119,972",labissk01
521,Daishen Nix,SAC,"$119,972",,,,,,"$119,972",nixda01
522,Oshae Brissett,PHI,"$119,972",,,,,,"$119,972",brissos01
523,David Roddy,PHI,"$2,967,212",,,,,,"$119,972",roddyda01
524,Mo Bamba,NOP,"$2,207,491",,,,,,"$119,972",bambamo01
525,Jahlil Okafor,IND,"$119,972",,,,,,"$119,972",okafoja01
526,Moses Brown,DAL,"$426,632",,,,,,"$119,972",brownmo01
527,Malachi Flynn,CHO,"$119,972",,,,,,"$119,972",flynnma01
528,Killian Hayes,BRK,"$119,972",,,,,,"$119,972",hayeski01
529,Kevon Harris,ATL,"$119,972",,,,,,"$119,972",harrike01
530,Chuma Okeke,CLE,"$355,687","$2,546,675",,,,,"$115,743",okekech01
531,Drew Timme,BRK,"$113,055","$1,955,377",,,,,"$2,068,432",timmedr01
532,Cole Swider,TOR,"$227,947",,,,,,"$227,947",swideco01
533,Colin Castleton,TOR,"$421,081","$2,191,897",,,,,"$2,505,951",castlco01
534,Colin Castleton,TOR,"$421,081","$2,191,897",,,,,"$2,505,951",castlco01
535,Colin Castleton,PHI,"$421,081","$2,191,897",,,,,"$107,027",castlco01
536,Marcus Garrett,CHO,"$107,027",,,,,,"$107,027",garrema01
537,Colin Castleton,TOR,"$421,081","$2,191,897",,,,,"$2,505,951",castlco01
538,Javon Freeman-Liberty,TOR,"$100,000",,,,,,"$100,000",freemja01
539,A.J. Lawson,TOR,"$100,000","$2,270,735",,,,,"$100,000",lawsoaj01
540,Marcus Bagley,PHI,"$126,356",,,,,,"$126,356",baglema02
541,Kylor Kelley,NOP,"$73,153",,,,,,"$73,153",kelleky01
542,Jaylen Sims,CHO,"$73,153",,,,,,"$73,153",simsja01
543,Erik Stevenson,WAS,"$66,503",,,,,,"$66,503",steveer01
544,Phillip Wheeler,PHI,"$66,503",,,,,,"$66,503",wheelph02
545,Yuri Collins,GSW,"$66,503",,,,,,"$66,503",colliyu01
546,Nae'Qwan Tomlin,CLE,"$66,503",,,,,,"$66,503",tomlina01
547,Branden Carlson,OKC,"$496,519",,,,,,"$496,519",carlsbr01
548,Branden Carlson,OKC,"$496,519",,,,,,"$496,519",carlsbr01
549,Terence Davis,SAC,"$64,301","$2,546,675",,,,,"$64,301",daviste02
550,Marcus Bagley,PHI,"$126,356",,,,,,"$126,356",baglema02
551,Brandon Williams,DAL,"$47,989","$2,270,735",,,,,"$47,989",willibr03
552,Javante McCoy,DET,"$47,265",,,,,,"$47,265",mccoyja01
553,Elfrid Payton,NOP,"$789,048","$3,153,598",,,,,"$549,104",paytoel01
554,JD Davison,BOS,"$11,997","$2,270,735",,,,,"$2,282,732",davisjd01
555,Isaiah Mobley,PHI,"$11,997",,,,,,"$11,997",mobleis01
556,Braxton Key,GSW,"$11,997",,,,,,"$11,997",keybr01
557,Kylor Kelley,NOP,"$73,153",,,,,,"$73,153",kelleky01
558,Jaylen Sims,CHO,"$73,153",,,,,,"$73,153",simsja01